Kernel函数名称,kernel类型,kernel来源,所属算子/模块,使用的模型列表,各模型热度级别,最高模型热度级别,模型热度得分,Kernel源码路径,Kernel行号
chunk_rwkv6_bwd_kernel_inter,cv/cube,核心算子,RWKV6,RWKV6,B,B,3,fla/ops/rwkv6/chunk.py,633
rwkv_seq_mix_kernel,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/channel_mixing.py,38
rwkv_channel_mixing_pow_and_relu,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/channel_mixing.py,83
relu_square_bwd_kernel,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/channel_mixing.py,173
rwkv_mix_bwd_kenel,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/channel_mixing.py,205
fused_addcmul_fwd_kernel,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/fused_addcmul.py,53
addcmul_bwd_kernel1,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/fused_addcmul.py,113
k_update_fwd_kernel_short,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/fused_k_update.py,32
k_update_fwd_kernel_long,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/fused_k_update.py,75
k_update_bwd_kernel_short,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/fused_k_update.py,122
k_update_bwd_kernel_long,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/fused_k_update.py,174
fused_recurrent_rwkv7_fwd_kernel,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/fused_recurrent.py,35
gate_output_correction_fwd_kernel,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/gate_output_correction.py,73
gate_output_correction_bwd_kernel,vv,核心算子,RWKV7,RWKV7,C,C,2,fla/ops/rwkv7/gate_output_correction.py,125
parallel_simple_gla_fwd_kernel,cv/cube,核心算子,SimpleGLA,"LinearAttention,RetNet","B,A",B,3,fla/ops/simple_gla/parallel.py,47
parallel_simple_gla_bwd_kernel_dq,cv/cube,核心算子,SimpleGLA,"LinearAttention,RetNet","B,A",B,3,fla/ops/simple_gla/parallel.py,166
parallel_simple_gla_bwd_kernel_dkv,cv/cube,核心算子,SimpleGLA,"LinearAttention,RetNet","B,A",B,3,fla/ops/simple_gla/parallel.py,258
parallel_simple_gla_bwd_kernel,vv,核心算子,SimpleGLA,"LinearAttention,RetNet","B,A",B,3,fla/ops/simple_gla/parallel.py,382
chunk_ttt_linear_fwd_kernel_h,cv/cube,核心算子,TTT,,,,0,fla/ops/ttt/chunk.py,34
chunk_ttt_linear_fwd_kernel_o,cv/cube,核心算子,TTT,,,,0,fla/ops/ttt/chunk.py,139
chunk_ttt_linear_bwd_kernel_h,cv/cube,核心算子,TTT,,,,0,fla/ops/ttt/chunk.py,232
chunk_ttt_linear_bwd_kernel_dv_local,cv/cube,核心算子,TTT,,,,0,fla/ops/ttt/chunk.py,334
chunk_ttt_linear_bwd_kernel_norm,cv/cube,核心算子,TTT,,,,0,fla/ops/ttt/chunk.py,409
chunk_bwd_kernel_dqke,cv/cube,核心算子,TTT,,,,0,fla/ops/ttt/chunk.py,567
fused_chunk_ttt_linear_fwd_kernel,cv/cube,核心算子,TTT,,,,0,fla/ops/ttt/fused_chunk.py,35
fused_chunk_ttt_linear_bwd_kernel_h,cv/cube,核心算子,TTT,,,,0,fla/ops/ttt/fused_chunk.py,158
fused_chunk_ttt_linear_bwd_kernel_dh,cv/cube,核心算子,TTT,,,,0,fla/ops/ttt/fused_chunk.py,278
chunk_dplr_bwd_kernel_intra,vv,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,32
chunk_dplr_bwd_kernel_intra_tensorcore,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,237
chunk_dplr_bwd_dgk_kernel,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,407
chunk_dplr_fwd_A_kernel_intra_sub_intra,vv,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/chunk_A_fwd.py,32
chunk_dplr_fwd_A_kernel_intra_tensorcore,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/chunk_A_fwd.py,159
chunk_dplr_bwd_kernel_dhu,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/chunk_h_bwd.py,34
chunk_dplr_fwd_kernel_h,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/chunk_h_fwd.py,34
chunk_dplr_bwd_kernel_dAu,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,34
chunk_dplr_bwd_o_kernel,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,107
chunk_dplr_bwd_kernel_dv,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,237
chunk_dplr_fwd_kernel_o,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/chunk_o_fwd.py,35
fused_recurrent_dplr_delta_rule_fwd_kernel,vv,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/fused_recurrent.py,32
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/wy_fast_bwd.py,32
prepare_wy_repr_fwd_kernel_chunk32,vv,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,29
prepare_wy_repr_fwd_kernel_chunk64,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,75
wu_fwd_kernel,cv/cube,核心算子,DPLR,,,,0,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,155
chunk_generalized_iplr_delta_rule_fwd_kernel_h,cv/cube,核心算子,IPLR,,,,0,fla/ops/generalized_delta_rule/iplr/chunk.py,42
chunk_generalized_iplr_delta_rule_fwd_kernel_o,cv/cube,核心算子,IPLR,,,,0,fla/ops/generalized_delta_rule/iplr/chunk.py,127
fused_recurrent_fwd_kernel,vv,核心算子,IPLR,,,,0,fla/ops/generalized_delta_rule/iplr/fused_recurrent.py,30
fused_recurrent_bwd_kernel,vv,核心算子,IPLR,,,,0,fla/ops/generalized_delta_rule/iplr/fused_recurrent.py,121
prepare_wy_repr_fwd_kernel_chunk32,cv/cube,核心算子,IPLR,,,,0,fla/ops/generalized_delta_rule/iplr/wy_fast.py,29
prepare_wy_repr_fwd_kernel_chunk64,cv/cube,核心算子,IPLR,,,,0,fla/ops/generalized_delta_rule/iplr/wy_fast.py,84
wu_fwd_kernel,cv/cube,核心算子,IPLR,,,,0,fla/ops/generalized_delta_rule/iplr/wy_fast.py,165
chunk_local_cumsum_scalar_kernel,vv,共享模块,utils/cumsum,"ForgettingTransformer,GLA,GSA,HGRN2,LightNet,PaTHAttention,Rodimus","A,A,B,B,B,C,C",C,2,fla/ops/utils/cumsum.py,30
chunk_local_cumsum_vector_kernel,vv,共享模块,utils/cumsum,"ForgettingTransformer,GLA,GSA,HGRN2,LightNet,PaTHAttention,Rodimus","A,A,B,B,B,C,C",C,2,fla/ops/utils/cumsum.py,85
chunk_global_cumsum_scalar_kernel,vv,共享模块,utils/cumsum,"ForgettingTransformer,GLA,GSA,HGRN2,LightNet,PaTHAttention,Rodimus","A,A,B,B,B,C,C",C,2,fla/ops/utils/cumsum.py,143
chunk_global_cumsum_vector_kernel,vv,共享模块,utils/cumsum,"ForgettingTransformer,GLA,GSA,HGRN2,LightNet,PaTHAttention,Rodimus","A,A,B,B,B,C,C",C,2,fla/ops/utils/cumsum.py,203
prepare_position_ids_kernel,vv,共享模块,utils/index,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,KDA,MoM","C,A,S,C,S,C",S,5,fla/ops/utils/index.py,24
logcumsumexp_fwd_kernel,cv/cube,共享模块,utils/logcumsumexp,ABC,D,D,1,fla/ops/utils/logcumsumexp.py,24
logsumexp_fwd_kernel,vv,共享模块,utils/logsumexp,,,,0,fla/ops/utils/logsumexp.py,27
matmul_kernel,cv/cube,共享模块,utils/matmul,,,,0,fla/ops/utils/matmul.py,52
leaky_relu,vv,共享模块,utils/matmul,,,,0,fla/ops/utils/matmul.py,157
sigmoid,vv,共享模块,utils/matmul,,,,0,fla/ops/utils/matmul.py,162
tanh,vv,共享模块,utils/matmul,,,,0,fla/ops/utils/matmul.py,168
relu,vv,共享模块,utils/matmul,,,,0,fla/ops/utils/matmul.py,175
exp,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,17
exp2,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,19
log,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,21
log2,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,23
tanh,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,25
exp,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,17
exp2,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,19
log,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,21
log2,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,23
tanh,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,25
gather,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,41
make_tensor_descriptor,vv,共享模块,utils/op,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","D,C,A,A,B,S,C,A,B,S,B,C,C,C,A,C,B,C,C",S,5,fla/ops/utils/op.py,65
packunpack_sequence_kernel,vv,共享模块,utils/pack,,,,0,fla/ops/utils/pack.py,27
mean_pooling_fwd_kernel,vv,共享模块,utils/pooling,NSA,A,A,4,fla/ops/utils/pooling.py,28
mean_pooling_bwd_kernel,vv,共享模块,utils/pooling,NSA,A,A,4,fla/ops/utils/pooling.py,75
softmax_fwd_kernel,vv,共享模块,utils/softmax,GSA,B,B,3,fla/ops/utils/softmax.py,26
softmax_bwd_kernel,vv,共享模块,utils/softmax,GSA,B,B,3,fla/ops/utils/softmax.py,53
softplus_nv,vv,共享模块,utils/softplus,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","S,C,S,C",S,5,fla/ops/utils/softplus.py,68
softplus_triton,vv,共享模块,utils/softplus,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","S,C,S,C",S,5,fla/ops/utils/softplus.py,84
softplus2_nv,vv,共享模块,utils/softplus,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","S,C,S,C",S,5,fla/ops/utils/softplus.py,89
softplus2_triton,vv,共享模块,utils/softplus,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","S,C,S,C",S,5,fla/ops/utils/softplus.py,105
solve_tril_16x16_kernel,vv,共享模块,utils/solve_tril,"DeltaNet,PaTHAttention","A,C",C,2,fla/ops/utils/solve_tril.py,36
merge_16x16_to_32x32_inverse_kernel,cv/cube,共享模块,utils/solve_tril,"DeltaNet,PaTHAttention","A,C",C,2,fla/ops/utils/solve_tril.py,104
merge_16x16_to_64x64_inverse_kernel,cv/cube,共享模块,utils/solve_tril,"DeltaNet,PaTHAttention","A,C",C,2,fla/ops/utils/solve_tril.py,193
sigmoid_fwd_kernel,vv,共享模块,activations,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","D,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,A,C,A,D",S,5,fla/modules/activations.py,85
sigmoid_bwd_kernel,vv,共享模块,activations,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","D,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,A,C,A,D",S,5,fla/modules/activations.py,115
logsigmoid_fwd_kernel,vv,共享模块,activations,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","D,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,A,C,A,D",S,5,fla/modules/activations.py,195
logsigmoid_bwd_kernel,vv,共享模块,activations,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","D,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,A,C,A,D",S,5,fla/modules/activations.py,230
swish_fwd_kernel,vv,共享模块,activations,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","D,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,A,C,A,D",S,5,fla/modules/activations.py,324
swish_bwd_kernel,vv,共享模块,activations,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","D,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,A,C,A,D",S,5,fla/modules/activations.py,355
swiglu_fwd_kernel,vv,共享模块,activations,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","D,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,A,C,A,D",S,5,fla/modules/activations.py,552
swiglu_fwdbwd_kernel,vv,共享模块,activations,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","D,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,A,C,A,D",S,5,fla/modules/activations.py,589
causal_conv1d_fwd_kernel,vv,共享模块,conv,"LogLinearMamba2,Mamba,Mamba2,Samba","C,C,A,A",C,2,fla/modules/conv/triton/kernels.py,35
causal_conv1d_bwd_kernel,vv,共享模块,conv,"LogLinearMamba2,Mamba,Mamba2,Samba","C,C,A,A",C,2,fla/modules/conv/triton/kernels.py,152
causal_conv1d_update_kernel,vv,共享模块,conv,"LogLinearMamba2,Mamba,Mamba2,Samba","C,C,A,A",C,2,fla/modules/conv/triton/kernels.py,325
compute_dh0_kernel,vv,共享模块,conv,"LogLinearMamba2,Mamba,Mamba2,Samba","C,C,A,A",C,2,fla/modules/conv/triton/kernels.py,410
causal_conv1d_states_fwd_kernel,vv,共享模块,conv,"LogLinearMamba2,Mamba,Mamba2,Samba","C,C,A,A",C,2,fla/modules/conv/triton/kernels.py,487
layer_norm_fwd_kernel_quant,vv,共享模块,fused_bitlinear,BitNet,B,B,3,fla/modules/fused_bitlinear.py,72
layer_norm_bwd_kernel,vv,共享模块,fused_bitlinear,BitNet,B,B,3,fla/modules/fused_bitlinear.py,207
cross_entropy_fwd_kernel,vv,共享模块,fused_cross_entropy,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,RetNet,Rodimus,Samba,Transformer","D,B,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,C,A,C,A,D",S,5,fla/modules/fused_cross_entropy.py,30
cross_entropy_bwd_kernel,vv,共享模块,fused_cross_entropy,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,RetNet,Rodimus,Samba,Transformer","D,B,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,C,A,C,A,D",S,5,fla/modules/fused_cross_entropy.py,106
kl_div_kernel,vv,共享模块,fused_kl_div,,,,0,fla/modules/fused_kl_div.py,25
elementwise_mul_kernel,vv,共享模块,fused_kl_div,,,,0,fla/modules/fused_kl_div.py,90
logsumexp_fwd_kernel,vv,共享模块,fused_linear_cross_entropy,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,RetNet,Rodimus,Samba,Transformer","D,B,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,C,A,C,A,D",S,5,fla/modules/fused_linear_cross_entropy.py,42
cross_entropy_kernel,vv,共享模块,fused_linear_cross_entropy,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,RetNet,Rodimus,Samba,Transformer","D,B,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,C,A,C,A,D",S,5,fla/modules/fused_linear_cross_entropy.py,94
elementwise_mul_kernel,vv,共享模块,fused_linear_cross_entropy,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,RetNet,Rodimus,Samba,Transformer","D,B,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,B,C,A,C,A,D",S,5,fla/modules/fused_linear_cross_entropy.py,242
layer_norm_gated_fwd_kernel,vv,共享模块,fused_norm_gate,LightNet,B,B,3,fla/modules/fused_norm_gate.py,34
layer_norm_gated_fwd_kernel1,vv,共享模块,fused_norm_gate,LightNet,B,B,3,fla/modules/fused_norm_gate.py,120
layer_norm_gated_bwd_kernel,vv,共享模块,fused_norm_gate,LightNet,B,B,3,fla/modules/fused_norm_gate.py,201
layer_norm_gated_bwd_kernel1,vv,共享模块,fused_norm_gate,LightNet,B,B,3,fla/modules/fused_norm_gate.py,329
grpo_fwd_kernel,vv,共享模块,grpo,,,,0,fla/modules/grpo.py,79
grpo_bwd_kernel,vv,共享模块,grpo,,,,0,fla/modules/grpo.py,155
l2norm_fwd_kernel1,vv,共享模块,l2norm,"MesaNet,PaTHAttention,RWKV7","C,C,C",C,2,fla/modules/l2norm.py,24
l2norm_bwd_kernel1,vv,共享模块,l2norm,"MesaNet,PaTHAttention,RWKV7","C,C,C",C,2,fla/modules/l2norm.py,52
l2norm_fwd_kernel,vv,共享模块,l2norm,"MesaNet,PaTHAttention,RWKV7","C,C,C",C,2,fla/modules/l2norm.py,81
l2norm_bwd_kernel,vv,共享模块,l2norm,"MesaNet,PaTHAttention,RWKV7","C,C,C",C,2,fla/modules/l2norm.py,111
layer_norm_fwd_kernel,vv,共享模块,layernorm,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RetNet,Rodimus,Samba,Transformer","D,B,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,A,C,A,D",S,5,fla/modules/layernorm.py,193
layer_norm_fwd_kernel1,vv,共享模块,layernorm,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RetNet,Rodimus,Samba,Transformer","D,B,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,A,C,A,D",S,5,fla/modules/layernorm.py,267
layer_norm_bwd_kernel,vv,共享模块,layernorm,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RetNet,Rodimus,Samba,Transformer","D,B,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,A,C,A,D",S,5,fla/modules/layernorm.py,340
layer_norm_bwd_kernel1,vv,共享模块,layernorm,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RetNet,Rodimus,Samba,Transformer","D,B,C,C,A,A,A,B,S,C,A,B,S,B,B,C,S,C,A,C,C,A,C,A,C,A,D",S,5,fla/modules/layernorm.py,457
layer_norm_fwd_kernel,vv,共享模块,layernorm_gated,"LogLinearMamba2,Mamba2,RWKV6,RWKV7,Rodimus","C,A,B,C,C",C,2,fla/modules/layernorm_gated.py,54
layer_norm_bwd_kernel,vv,共享模块,layernorm_gated,"LogLinearMamba2,Mamba2,RWKV6,RWKV7,Rodimus","C,A,B,C,C",C,2,fla/modules/layernorm_gated.py,186
rotary_embedding_kernel,vv,共享模块,rotary,RetNet,A,A,4,fla/modules/rotary.py,46
token_shift_fwd_kernel_short,vv,共享模块,token_shift,"RWKV6,RWKV7","B,C",C,2,fla/modules/token_shift.py,67
token_shift_fwd_kernel_long,vv,共享模块,token_shift,"RWKV6,RWKV7","B,C",C,2,fla/modules/token_shift.py,159
token_shift_bwd_kernel_short,vv,共享模块,token_shift,"RWKV6,RWKV7","B,C",C,2,fla/modules/token_shift.py,233
token_shift_bwd_kernel_long,vv,共享模块,token_shift,"RWKV6,RWKV7","B,C",C,2,fla/modules/token_shift.py,311
