Kernel函数名称,kernel来源,共享算子/模块数量,共享算子/模块列表,使用模型数量,复用度级别,原始复用度得分,全局排名复用度得分,模块内排名复用度得分,是否为common目录kernel,Kernel源码路径,Kernel行号
chunk_fwd_kernel_o,共享模块,4,"comba,delta_rule,gated_delta_rule,simple_gla",5,极高,5,2,5,是,fla/ops/common/chunk_o.py,34
chunk_bwd_kernel_dqkwg,共享模块,4,"comba,delta_rule,gated_delta_rule,simple_gla",5,极高,5,2,5,是,fla/ops/common/chunk_o.py,156
chunk_bwd_kernel_dv,共享模块,4,"comba,delta_rule,gated_delta_rule,simple_gla",5,极高,5,2,5,是,fla/ops/common/chunk_o.py,358
chunk_bwd_kernel_dv_local,共享模块,4,"comba,delta_rule,gated_delta_rule,simple_gla",5,极高,5,2,5,是,fla/ops/common/chunk_o.py,460
chunk_scaled_dot_kkt_fwd_kernel,共享模块,3,"delta_rule,gated_delta_product,path_attn",3,高,4,2,4,是,fla/ops/common/chunk_scaled_dot_kkt.py,31
fused_chunk_fwd_kernel,共享模块,1,simple_gla,0,极低,1,1,1,是,fla/ops/common/fused_chunk.py,44
fused_chunk_bwd_kernel,共享模块,1,simple_gla,0,极低,1,1,1,是,fla/ops/common/fused_chunk.py,178
fused_recurrent_fwd_kernel,共享模块,3,"gla,gsa,simple_gla",5,高,4,2,4,是,fla/ops/common/fused_recurrent.py,29
fused_recurrent_bwd_kernel,共享模块,3,"gla,gsa,simple_gla",5,高,4,2,4,是,fla/ops/common/fused_recurrent.py,142
pre_process_fwd_kernel_merged,核心算子,3,"CP,gated_delta_rule,kda",4,高,4,4,4,否,fla/ops/cp/chunk_delta_h.py,40
merge_fwd_bwd_kernel,核心算子,3,"CP,gated_delta_rule,kda",4,高,4,4,4,否,fla/ops/cp/chunk_delta_h.py,285
pre_process_bwd_kernel_merged,核心算子,3,"CP,gated_delta_rule,kda",4,高,4,4,4,否,fla/ops/cp/chunk_delta_h.py,440
fused_recurrent_delta_rule_fwd_kernel,核心算子,1,DeltaRule,2,低,2,2,2,否,fla/ops/delta_rule/fused_recurrent.py,21
fused_recurrent_delta_rule_bwd_kernel,核心算子,1,DeltaRule,2,低,2,2,2,否,fla/ops/delta_rule/fused_recurrent.py,108
chunk_transform_qk_fwd_kernel,核心算子,1,DeltaRule,2,低,2,2,2,否,fla/ops/delta_rule/parallel.py,27
save_intra_chunk_attn,核心算子,1,DeltaRule,2,低,2,2,2,否,fla/ops/delta_rule/parallel.py,135
parallel_delta_rule_fwd_kernel,核心算子,1,DeltaRule,2,低,2,2,2,否,fla/ops/delta_rule/parallel.py,152
recompute_w_u_fwd_kernel,核心算子,1,DeltaRule,2,低,2,2,2,否,fla/ops/delta_rule/wy_fast.py,32
prepare_wy_repr_bwd_kernel,核心算子,1,DeltaRule,2,低,2,2,2,否,fla/ops/delta_rule/wy_fast.py,94
parallel_deltaformer_fwd_kernel,核心算子,1,Deltaformer,1,极低,1,1,1,否,fla/ops/deltaformer/parallel.py,135
parallel_deltaformer_bwd_kernel_u,核心算子,1,Deltaformer,1,极低,1,1,1,否,fla/ops/deltaformer/parallel.py,276
parallel_deltaformer_bwd_kernel_row_sum,核心算子,1,Deltaformer,1,极低,1,1,1,否,fla/ops/deltaformer/parallel.py,363
parallel_deltaformer_bwd_kernel_qk,核心算子,1,Deltaformer,1,极低,1,1,1,否,fla/ops/deltaformer/parallel.py,458
chunk_gated_delta_product_fwd_kernel_h_blockdim64,核心算子,1,GatedDeltaProduct,1,极低,1,1,1,否,fla/ops/gated_delta_product/chunk_deltaproduct_h.py,37
chunk_gated_delta_product_bwd_kernel_dhu_blockdim64,核心算子,1,GatedDeltaProduct,1,极低,1,1,1,否,fla/ops/gated_delta_product/chunk_deltaproduct_h.py,216
chunk_fwd_kernel_o,核心算子,1,GatedDeltaProduct,1,极低,1,1,1,否,fla/ops/gated_delta_product/chunk_deltaproduct_o.py,35
chunk_gated_delta_rule_fwd_kkt_solve_kernel,核心算子,1,GatedDeltaRule,3,低,2,2,2,否,fla/ops/gated_delta_rule/chunk_fwd.py,36
fused_recurrent_gated_delta_rule_fwd_kernel,核心算子,1,GatedDeltaRule,3,低,2,2,2,否,fla/ops/gated_delta_rule/fused_recurrent.py,24
gdn_gate_chunk_cumsum_scalar_kernel,核心算子,1,GatedDeltaRule,3,低,2,2,2,否,fla/ops/gated_delta_rule/gate.py,60
gdn_gate_bwd_kernel,核心算子,1,GatedDeltaRule,3,低,2,2,2,否,fla/ops/gated_delta_rule/gate.py,116
gdn_gate_fwd_kernel,核心算子,1,GatedDeltaRule,3,低,2,2,2,否,fla/ops/gated_delta_rule/gate.py,235
safe_dot,核心算子,1,GatedDeltaRule,3,低,2,2,2,否,fla/ops/gated_delta_rule/wy_fast.py,27
safe_dot,核心算子,1,GatedDeltaRule,3,低,2,2,2,否,fla/ops/gated_delta_rule/wy_fast.py,27
recompute_w_u_fwd_kernel,核心算子,1,GatedDeltaRule,3,低,2,2,2,否,fla/ops/gated_delta_rule/wy_fast.py,56
prepare_wy_repr_bwd_kernel,核心算子,1,GatedDeltaRule,3,低,2,2,2,否,fla/ops/gated_delta_rule/wy_fast.py,132
chunk_oja_fwd_kernel_h_blockdim64,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_h.py,37
chunk_oja_bwd_kernel_dhu_blockdim64,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_h.py,264
chunk_gsa_bwd_k_kernel_dqkvg,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_h.py,527
chunk_oja_bwd_kernel_dvwg_h,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_h.py,663
chunk_scaled_dot_kkt_fwd_kernel,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_kkt.py,29
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_inter,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_kkt.py,90
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_intra,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_kkt.py,166
chunk_scaled_dot_kkt_bwd_kernel_gk,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_kkt.py,230
chunk_oja_fwd_inter,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_o.py,33
chunk_oja_fwd_intra,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_o.py,107
chunk_oja_bwd_kernel_dA,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_o.py,262
chunk_oja_bwd_kernel_dqk,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_o.py,404
chunk_oja_bwd_kernel_dv_o,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/chunk_o.py,542
fused_recurrent_oja_fwd_kernel,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/fused_recurrent.py,22
recompute_w_u_fwd_kernel,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/wy_fast.py,29
prepare_wy_repr_bwd_kernel,核心算子,1,GatedOjaRule,0,极低,1,1,1,否,fla/ops/gated_oja_rule/wy_fast.py,108
chunk_gla_fwd_A_kernel_intra_sub_inter,核心算子,4,"GLA,gsa,kda,rwkv6",7,极高,5,5,5,否,fla/ops/gla/chunk.py,35
chunk_gla_fwd_A_kernel_intra_sub_intra,核心算子,4,"GLA,gsa,kda,rwkv6",7,极高,5,5,5,否,fla/ops/gla/chunk.py,109
chunk_gla_fwd_A_kernel_intra_sub_intra_split,核心算子,4,"GLA,gsa,kda,rwkv6",7,极高,5,5,5,否,fla/ops/gla/chunk.py,183
chunk_gla_fwd_A_kernel_intra_sub_intra_merge,核心算子,4,"GLA,gsa,kda,rwkv6",7,极高,5,5,5,否,fla/ops/gla/chunk.py,262
chunk_gla_fwd_kernel_o,核心算子,4,"GLA,gsa,kda,rwkv6",7,极高,5,5,5,否,fla/ops/gla/chunk.py,312
chunk_gla_bwd_kernel_intra,核心算子,4,"GLA,gsa,kda,rwkv6",7,极高,5,5,5,否,fla/ops/gla/chunk.py,398
chunk_gla_bwd_kernel_dA,核心算子,4,"GLA,gsa,kda,rwkv6",7,极高,5,5,5,否,fla/ops/gla/chunk.py,534
chunk_gla_bwd_kernel_dv,核心算子,4,"GLA,gsa,kda,rwkv6",7,极高,5,5,5,否,fla/ops/gla/chunk.py,587
chunk_gla_bwd_kernel_inter,核心算子,4,"GLA,gsa,kda,rwkv6",7,极高,5,5,5,否,fla/ops/gla/chunk.py,664
chunk_gsa_fwd_k_kernel_inter,核心算子,1,GSA,1,极低,1,1,1,否,fla/ops/gsa/chunk.py,38
chunk_gsa_fwd_k_kernel_intra,核心算子,1,GSA,1,极低,1,1,1,否,fla/ops/gsa/chunk.py,112
chunk_gsa_bwd_k_kernel_dA,核心算子,1,GSA,1,极低,1,1,1,否,fla/ops/gsa/chunk.py,200
chunk_gsa_bwd_k_kernel_dqkvg,核心算子,1,GSA,1,极低,1,1,1,否,fla/ops/gsa/chunk.py,301
chunk_gsa_bwd_k_kernel_intra_dvg,核心算子,1,GSA,1,极低,1,1,1,否,fla/ops/gsa/chunk.py,427
fused_recurrent_gsa_inference_kernel,核心算子,1,GSA,1,极低,1,1,1,否,fla/ops/gsa/fused_recurrent.py,17
chunk_hgrn_fwd_kernel_h,核心算子,1,HGRN,1,极低,1,1,1,否,fla/ops/hgrn/chunk.py,52
chunk_hgrn_fwd_kernel_o,核心算子,1,HGRN,1,极低,1,1,1,否,fla/ops/hgrn/chunk.py,94
chunk_hgrn_bwd_kernel_h,核心算子,1,HGRN,1,极低,1,1,1,否,fla/ops/hgrn/chunk.py,132
chunk_hgrn_bwd_kernel_o,核心算子,1,HGRN,1,极低,1,1,1,否,fla/ops/hgrn/chunk.py,178
fused_recurrent_hgrn_fwd_kernel,核心算子,1,HGRN,1,极低,1,1,1,否,fla/ops/hgrn/fused_recurrent.py,30
fused_recurrent_hgrn_bwd_kernel,核心算子,1,HGRN,1,极低,1,1,1,否,fla/ops/hgrn/fused_recurrent.py,92
chunk_kda_bwd_kernel_dAv,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/chunk_bwd.py,47
chunk_kda_bwd_kernel_wy_dqkg_fused,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/chunk_bwd.py,128
chunk_kda_fwd_kernel_inter_solve_fused,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/chunk_intra.py,40
chunk_kda_bwd_kernel_intra,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/chunk_intra.py,364
chunk_kda_fwd_kernel_intra_sub_chunk,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/chunk_intra.py,640
chunk_kda_fwd_kernel_intra_token_parallel,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/chunk_intra_token_parallel.py,30
fused_recurrent_kda_fwd_kernel,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/fused_recurrent.py,30
kda_gate_fwd_kernel,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/gate.py,86
kda_gate_bwd_kernel,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/gate.py,142
kda_gate_chunk_cumsum_vector_kernel,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/gate.py,361
recompute_w_u_fwd_kda_kernel,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/wy_fast.py,31
prepare_wy_repr_bwd_kda_kernel,核心算子,1,KDA,1,极低,1,1,1,否,fla/ops/kda/wy_fast.py,118
chunkwise_fwd_kernel,核心算子,1,LogLinearAttn,1,极低,1,1,1,否,fla/ops/log_linear_attn/chunk.py,41
copy_input_kernel,核心算子,1,LogLinearAttn,1,极低,1,1,1,否,fla/ops/log_linear_attn/chunk.py,677
copy_last_chunk_kernel,核心算子,1,LogLinearAttn,1,极低,1,1,1,否,fla/ops/log_linear_attn/chunk.py,828
chunkwise_bwd_kernel_dhg,核心算子,1,LogLinearAttn,1,极低,1,1,1,否,fla/ops/log_linear_attn/chunk.py,930
chunkwise_bwd_kernel_hdqgl,核心算子,1,LogLinearAttn,1,极低,1,1,1,否,fla/ops/log_linear_attn/chunk.py,1047
chunkwise_bwd_kernel_dkg,核心算子,1,LogLinearAttn,1,极低,1,1,1,否,fla/ops/log_linear_attn/chunk.py,1195
chunkwise_bwd_kernel_dv,核心算子,1,LogLinearAttn,1,极低,1,1,1,否,fla/ops/log_linear_attn/chunk.py,1285
chunkwise_bwd_kernel_diag,核心算子,1,LogLinearAttn,1,极低,1,1,1,否,fla/ops/log_linear_attn/chunk.py,1351
