Kernel函数名称,kernel来源,共享算子/模块数量,共享算子/模块列表,使用模型数量,复用度级别,原始复用度得分,全局排名复用度得分,模块内排名复用度得分,是否为common目录kernel,Kernel源码路径,Kernel行号
parallel_simple_gla_bwd_kernel_dq,核心算子,1,SimpleGLA,2,低,2,2,2,否,fla/ops/simple_gla/parallel.py,166
parallel_simple_gla_bwd_kernel_dkv,核心算子,1,SimpleGLA,2,低,2,2,2,否,fla/ops/simple_gla/parallel.py,258
parallel_simple_gla_bwd_kernel,核心算子,1,SimpleGLA,2,低,2,2,2,否,fla/ops/simple_gla/parallel.py,382
chunk_ttt_linear_fwd_kernel_h,核心算子,1,TTT,0,极低,1,1,1,否,fla/ops/ttt/chunk.py,34
chunk_ttt_linear_fwd_kernel_o,核心算子,1,TTT,0,极低,1,1,1,否,fla/ops/ttt/chunk.py,139
chunk_ttt_linear_bwd_kernel_h,核心算子,1,TTT,0,极低,1,1,1,否,fla/ops/ttt/chunk.py,232
chunk_ttt_linear_bwd_kernel_dv_local,核心算子,1,TTT,0,极低,1,1,1,否,fla/ops/ttt/chunk.py,334
chunk_ttt_linear_bwd_kernel_norm,核心算子,1,TTT,0,极低,1,1,1,否,fla/ops/ttt/chunk.py,409
chunk_bwd_kernel_dqke,核心算子,1,TTT,0,极低,1,1,1,否,fla/ops/ttt/chunk.py,567
fused_chunk_ttt_linear_fwd_kernel,核心算子,1,TTT,0,极低,1,1,1,否,fla/ops/ttt/fused_chunk.py,35
fused_chunk_ttt_linear_bwd_kernel_h,核心算子,1,TTT,0,极低,1,1,1,否,fla/ops/ttt/fused_chunk.py,158
fused_chunk_ttt_linear_bwd_kernel_dh,核心算子,1,TTT,0,极低,1,1,1,否,fla/ops/ttt/fused_chunk.py,278
chunk_dplr_bwd_kernel_intra,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,32
chunk_dplr_bwd_kernel_intra_tensorcore,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,237
chunk_dplr_bwd_dgk_kernel,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,407
chunk_dplr_fwd_A_kernel_intra_sub_intra,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/chunk_A_fwd.py,32
chunk_dplr_fwd_A_kernel_intra_tensorcore,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/chunk_A_fwd.py,159
chunk_dplr_bwd_kernel_dhu,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/chunk_h_bwd.py,34
chunk_dplr_fwd_kernel_h,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/chunk_h_fwd.py,34
chunk_dplr_bwd_kernel_dAu,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,34
chunk_dplr_bwd_o_kernel,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,107
chunk_dplr_bwd_kernel_dv,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,237
chunk_dplr_fwd_kernel_o,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/chunk_o_fwd.py,35
fused_recurrent_dplr_delta_rule_fwd_kernel,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/fused_recurrent.py,32
prepare_wy_repr_bwd_kernel,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/wy_fast_bwd.py,32
prepare_wy_repr_fwd_kernel_chunk32,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,29
prepare_wy_repr_fwd_kernel_chunk64,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,75
wu_fwd_kernel,核心算子,1,DPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,155
chunk_generalized_iplr_delta_rule_fwd_kernel_h,核心算子,1,IPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/iplr/chunk.py,42
chunk_generalized_iplr_delta_rule_fwd_kernel_o,核心算子,1,IPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/iplr/chunk.py,127
fused_recurrent_fwd_kernel,核心算子,1,IPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/iplr/fused_recurrent.py,30
fused_recurrent_bwd_kernel,核心算子,1,IPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/iplr/fused_recurrent.py,121
prepare_wy_repr_fwd_kernel_chunk32,核心算子,1,IPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/iplr/wy_fast.py,29
prepare_wy_repr_fwd_kernel_chunk64,核心算子,1,IPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/iplr/wy_fast.py,84
wu_fwd_kernel,核心算子,1,IPLR,0,极低,1,1,1,否,fla/ops/generalized_delta_rule/iplr/wy_fast.py,165
chunk_local_cumsum_scalar_kernel,共享模块,5,"attn,gla,gsa,path_attn,simple_gla",7,极高,5,2,5,否,fla/ops/utils/cumsum.py,30
chunk_local_cumsum_vector_kernel,共享模块,5,"attn,gla,gsa,path_attn,simple_gla",7,极高,5,2,5,否,fla/ops/utils/cumsum.py,85
chunk_global_cumsum_scalar_kernel,共享模块,5,"attn,gla,gsa,path_attn,simple_gla",7,极高,5,2,5,否,fla/ops/utils/cumsum.py,143
chunk_global_cumsum_vector_kernel,共享模块,5,"attn,gla,gsa,path_attn,simple_gla",7,极高,5,2,5,否,fla/ops/utils/cumsum.py,203
prepare_position_ids_kernel,共享模块,6,"comba,delta_rule,gated_delta_product,gated_delta_rule,gated_oja_rule,kda",6,极高,5,2,5,否,fla/ops/utils/index.py,24
logcumsumexp_fwd_kernel,共享模块,1,abc,1,极低,1,1,1,否,fla/ops/utils/logcumsumexp.py,24
logsumexp_fwd_kernel,共享模块,0,,0,极低,1,1,1,否,fla/ops/utils/logsumexp.py,27
matmul_kernel,共享模块,0,,0,极低,1,1,1,否,fla/ops/utils/matmul.py,52
leaky_relu,共享模块,0,,0,极低,1,1,1,否,fla/ops/utils/matmul.py,157
sigmoid,共享模块,0,,0,极低,1,1,1,否,fla/ops/utils/matmul.py,162
tanh,共享模块,0,,0,极低,1,1,1,否,fla/ops/utils/matmul.py,168
relu,共享模块,0,,0,极低,1,1,1,否,fla/ops/utils/matmul.py,175
exp,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,17
exp2,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,19
log,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,21
log2,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,23
tanh,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,25
exp,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,17
exp2,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,19
log,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,21
log2,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,23
tanh,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,25
gather,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,41
make_tensor_descriptor,共享模块,20,"abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",19,极高,5,2,5,否,fla/ops/utils/op.py,65
packunpack_sequence_kernel,共享模块,0,,0,极低,1,1,1,否,fla/ops/utils/pack.py,27
mean_pooling_fwd_kernel,共享模块,1,nsa,1,极低,1,1,1,否,fla/ops/utils/pooling.py,28
mean_pooling_bwd_kernel,共享模块,1,nsa,1,极低,1,1,1,否,fla/ops/utils/pooling.py,75
softmax_fwd_kernel,共享模块,1,gsa,1,极低,1,1,1,否,fla/ops/utils/softmax.py,26
softmax_bwd_kernel,共享模块,1,gsa,1,极低,1,1,1,否,fla/ops/utils/softmax.py,53
softplus_nv,共享模块,2,"gated_delta_rule,kda",4,中,3,2,3,否,fla/ops/utils/softplus.py,68
softplus_triton,共享模块,2,"gated_delta_rule,kda",4,中,3,2,3,否,fla/ops/utils/softplus.py,84
softplus2_nv,共享模块,2,"gated_delta_rule,kda",4,中,3,2,3,否,fla/ops/utils/softplus.py,89
softplus2_triton,共享模块,2,"gated_delta_rule,kda",4,中,3,2,3,否,fla/ops/utils/softplus.py,105
solve_tril_16x16_kernel,共享模块,2,"delta_rule,path_attn",2,中,3,2,3,否,fla/ops/utils/solve_tril.py,36
merge_16x16_to_32x32_inverse_kernel,共享模块,2,"delta_rule,path_attn",2,中,3,2,3,否,fla/ops/utils/solve_tril.py,104
merge_16x16_to_64x64_inverse_kernel,共享模块,2,"delta_rule,path_attn",2,中,3,2,3,否,fla/ops/utils/solve_tril.py,193
sigmoid_fwd_kernel,共享模块,12,"activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",27,极高,5,2,5,否,fla/modules/activations.py,85
sigmoid_bwd_kernel,共享模块,12,"activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",27,极高,5,2,5,否,fla/modules/activations.py,115
logsigmoid_fwd_kernel,共享模块,12,"activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",27,极高,5,2,5,否,fla/modules/activations.py,195
logsigmoid_bwd_kernel,共享模块,12,"activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",27,极高,5,2,5,否,fla/modules/activations.py,230
swish_fwd_kernel,共享模块,12,"activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",27,极高,5,2,5,否,fla/modules/activations.py,324
swish_bwd_kernel,共享模块,12,"activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",27,极高,5,2,5,否,fla/modules/activations.py,355
swiglu_fwd_kernel,共享模块,12,"activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",27,极高,5,2,5,否,fla/modules/activations.py,552
swiglu_fwdbwd_kernel,共享模块,12,"activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",27,极高,5,2,5,否,fla/modules/activations.py,589
causal_conv1d_fwd_kernel,共享模块,1,conv,4,低,2,2,2,否,fla/modules/conv/triton/kernels.py,35
causal_conv1d_bwd_kernel,共享模块,1,conv,4,低,2,2,2,否,fla/modules/conv/triton/kernels.py,152
causal_conv1d_update_kernel,共享模块,1,conv,4,低,2,2,2,否,fla/modules/conv/triton/kernels.py,325
compute_dh0_kernel,共享模块,1,conv,4,低,2,2,2,否,fla/modules/conv/triton/kernels.py,410
causal_conv1d_states_fwd_kernel,共享模块,1,conv,4,低,2,2,2,否,fla/modules/conv/triton/kernels.py,487
layer_norm_fwd_kernel_quant,共享模块,3,"bitnet,fused_bitlinear,layer:bitattn",1,高,4,2,4,否,fla/modules/fused_bitlinear.py,72
layer_norm_bwd_kernel,共享模块,3,"bitnet,fused_bitlinear,layer:bitattn",1,高,4,2,4,否,fla/modules/fused_bitlinear.py,207
cross_entropy_fwd_kernel,共享模块,1,fused_cross_entropy,29,低,2,2,2,否,fla/modules/fused_cross_entropy.py,30
cross_entropy_bwd_kernel,共享模块,1,fused_cross_entropy,29,低,2,2,2,否,fla/modules/fused_cross_entropy.py,106
kl_div_kernel,共享模块,1,fused_kl_div,0,极低,1,1,1,否,fla/modules/fused_kl_div.py,25
elementwise_mul_kernel,共享模块,1,fused_kl_div,0,极低,1,1,1,否,fla/modules/fused_kl_div.py,90
logsumexp_fwd_kernel,共享模块,1,fused_linear_cross_entropy,29,低,2,2,2,否,fla/modules/fused_linear_cross_entropy.py,42
cross_entropy_kernel,共享模块,1,fused_linear_cross_entropy,29,低,2,2,2,否,fla/modules/fused_linear_cross_entropy.py,94
elementwise_mul_kernel,共享模块,1,fused_linear_cross_entropy,29,低,2,2,2,否,fla/modules/fused_linear_cross_entropy.py,242
layer_norm_gated_fwd_kernel,共享模块,2,"fused_norm_gate,layer:lightnet",1,中,3,2,3,否,fla/modules/fused_norm_gate.py,34
layer_norm_gated_fwd_kernel1,共享模块,2,"fused_norm_gate,layer:lightnet",1,中,3,2,3,否,fla/modules/fused_norm_gate.py,120
layer_norm_gated_bwd_kernel,共享模块,2,"fused_norm_gate,layer:lightnet",1,中,3,2,3,否,fla/modules/fused_norm_gate.py,201
layer_norm_gated_bwd_kernel1,共享模块,2,"fused_norm_gate,layer:lightnet",1,中,3,2,3,否,fla/modules/fused_norm_gate.py,329
grpo_fwd_kernel,共享模块,1,grpo,0,极低,1,1,1,否,fla/modules/grpo.py,79
grpo_bwd_kernel,共享模块,1,grpo,0,极低,1,1,1,否,fla/modules/grpo.py,155
l2norm_fwd_kernel1,共享模块,4,"l2norm,layer:mesa_net,layer:path_attn,layer:rwkv7",3,极高,5,2,5,否,fla/modules/l2norm.py,24
l2norm_bwd_kernel1,共享模块,4,"l2norm,layer:mesa_net,layer:path_attn,layer:rwkv7",3,极高,5,2,5,否,fla/modules/l2norm.py,52
l2norm_fwd_kernel,共享模块,4,"l2norm,layer:mesa_net,layer:path_attn,layer:rwkv7",3,极高,5,2,5,否,fla/modules/l2norm.py,81
l2norm_bwd_kernel,共享模块,4,"l2norm,layer:mesa_net,layer:path_attn,layer:rwkv7",3,极高,5,2,5,否,fla/modules/l2norm.py,111
layer_norm_fwd_kernel,共享模块,3,"layer:gsa,layer:hgrn2,layernorm",27,高,4,2,4,否,fla/modules/layernorm.py,193
layer_norm_fwd_kernel1,共享模块,3,"layer:gsa,layer:hgrn2,layernorm",27,高,4,2,4,否,fla/modules/layernorm.py,267
layer_norm_bwd_kernel,共享模块,3,"layer:gsa,layer:hgrn2,layernorm",27,高,4,2,4,否,fla/modules/layernorm.py,340
layer_norm_bwd_kernel1,共享模块,3,"layer:gsa,layer:hgrn2,layernorm",27,高,4,2,4,否,fla/modules/layernorm.py,457
layer_norm_fwd_kernel,共享模块,4,"layer:log_linear_mamba2,layer:mamba2,layer:rodimus,layernorm_gated",5,极高,5,2,5,否,fla/modules/layernorm_gated.py,54
layer_norm_bwd_kernel,共享模块,4,"layer:log_linear_mamba2,layer:mamba2,layer:rodimus,layernorm_gated",5,极高,5,2,5,否,fla/modules/layernorm_gated.py,186
rotary_embedding_kernel,共享模块,2,"layer:multiscale_retention,rotary",1,中,3,2,3,否,fla/modules/rotary.py,46
token_shift_fwd_kernel_short,共享模块,5,"layer:rwkv6,layer:rwkv7,rwkv6,rwkv7,token_shift",2,极高,5,2,5,否,fla/modules/token_shift.py,67
token_shift_fwd_kernel_long,共享模块,5,"layer:rwkv6,layer:rwkv7,rwkv6,rwkv7,token_shift",2,极高,5,2,5,否,fla/modules/token_shift.py,159
token_shift_bwd_kernel_short,共享模块,5,"layer:rwkv6,layer:rwkv7,rwkv6,rwkv7,token_shift",2,极高,5,2,5,否,fla/modules/token_shift.py,233
token_shift_bwd_kernel_long,共享模块,5,"layer:rwkv6,layer:rwkv7,rwkv6,rwkv7,token_shift",2,极高,5,2,5,否,fla/modules/token_shift.py,311
